Title,Rating,Review,name
Perfect fit,5,Perfect for relaxed days or layering with your favorite pieces for a trendy look.The fabric is worth the price and the fit is perfect.,Saurabh
Review,5,I wear L size but i have purchased XL size of this item as i was looking for really oversized tee. The quality of the fabric is chic and i love the color of it. It is super comfortable and great piece to have.,Naaaa
Minimal with Great material,5,"The T-shirt comes with a better fabric than I expected. Being cotton, it's still breathable and comfortable for wearing for long hours. The long sleeves give the T-shirt a sleek yet elegant look and I can say that this is one of  the best oversized T-shirts you can buy. Would totally recommend.",abyss
Very comfortable and great fit,5,"Better than I expected it to be, I have bought other airism t-shirts, was not sure about this one, looks very good and very very comfortable",-
Best material,5,"This cotton half sleeve t-shirt is a dream to wear. Its softness envelops you in comfort, making it perfect for casual outings or lounging at home. The breathable fabric keeps you cool, while the quality ensures durability wash after wash. A must-have staple for anyone seeking comfort without compromising style.",-
T-Shirt Delight,5,"Although initially hesitant, I have truly enjoyed the amazing feel, texture and fitting of the half sleeve Crew Neck Oversized T-Shirt. It goes extremely well with a casual relaxed look.",-
"Great looking tee, superb fit and comfort",5,"Versatile oversized tee that can be rocked with baggy cargos and denim. I ordered it in grey color and I love how well it goes with dark indigo wash jeans.

The fabric is very soft and the tee is super comfortable, the fit is great and the stripes add an interesting character to the overall look.

Highly recommend it. Go for it!",-
Simple and easy yet fashionable,5,"The Uniqlo T-shirt is simple and easy to love. It's comfortable, versatile, and pairs effortlessly with any outfit. With its soft fabric and relaxed fit, it's perfect for everyday wear. Whether you're running errands or hanging out with friends, this T-shirt is a reliable go-to option.",-
Comfortable,5,"Brought this for my brother, he said that it’s a very comfortable fit and that the simplicity of its design makes it a great must have basic",Siesie
Good quality,5,Good quality tshirt.... Bit pricey.... But overall decent purchase.,Gargi
Comfortable and great fit,4,The Tshirt looked great on me. It was comfortable. The fabric is nice. I liked the product.,-
Better than Airism Cotton Crew Neck T-shirt,5,"This tshirt is a quality at par and even better than the Airism Cotton Crew Neck ones(not that those are bad, but these are  better and softer). The material is premium and falls fantastically on the body. The material is heavier than Normal Airism Cotton Crew Neck ones.",uniqlo_MastiNew
Amazing t shirt - unfortunately never in stock,5,"I picked up the purple one and want more colors but this item is never in stock for my size. Neither was it available in the store in Mumbai. 

It is kind of a baggy comfortable shirt. The stripe is very intricate and gives the t shirt a unique and nice texture.",-
Perfect daily wear,5,"I recently picked up the Uniqlo AIRism Cotton Striped Crew Neck Oversized T-Shirt, and it has quickly become one of my favorite go-to casual pieces. The striped design gives this T-shirt a trendy and laid-back look, perfect for casual outings. While the oversized fit is great for comfort,  consider sizing down.",Tarun
Luxury Airism?,4,Boxy shirt designed to have a loose and relaxed fit. Great choice if you're going for a comfortable and casual style. It fits like the usual U Airism tee but feels better built and more intricately designed. Great for summer where all you wear is a Tee.,U Aficionado
Comfy and cozy,5,Amazing fit and love the plain design. Really soft material as well,Dodo
Relaxed Boxy Fit,5,AIRism oversized t-shirt is one of the comfortable and softs one I have. It has a relaxed boxy fit which is perfect for me.,TiJo
Perfect for adding in some breath to your neutral colour tees.,4,"I bought one of these in L about 7months ago, and I've been wearing it constantly ever since. When you're wearing a neutral colour outfit, the stripes help it pop out more. It feels super comfortable and the cut is almost perfect, I'd take out a little bit from the length just because I like a little bit of crop in my tees but the length of the sleeves is absolutely perfect. Cotton helps it being breathable as well so yea pretty satisfied and safe to say I've got my worth out of this tee.",Ayman
Great comfort and fit,5,Perfect material for all day wear. The fit is as mentioned in the charts. Looking forward to getting some more color ways.,-
Really comfortable,5,Doesn't feel like you are wearing anything. Feels really comfortable,Addy
Silky feel,5,It feels so silky and light. Looks smart when paired with colour jeans.,Rest
Great Item,5,"I've tried several products in this category, but this one truly stands out. Its superior performance and durability make it a worthwhile investment. The sleek design and intuitive features enhance the overall user experience. I'm extremely satisfied with my purchase.",-
